hsa_id,fac_type,governorate,fac_type_score,urban_bonus,infra_quality,note_infra,jmp_san_pct,jmp_wat_pct,infra_quality_label
Natheef__Primary_Center,Primary Center,Amman,1,1.0,0.81905,JMP 2025 Jordan; 2022 urban/rural safely managed sanitation weighted by governorate urbanization rate (Jordan DoS Census 2015),81.905,85.797,81.9% safely managed sanitation
Natl_Comprehensive_Center,Comprehensive Center,Amman,2,1.0,0.81905,JMP 2025 Jordan; 2022 urban/rural safely managed sanitation weighted by governorate urbanization rate (Jordan DoS Census 2015),81.905,85.797,81.9% safely managed sanitation
North_Badiyah_Hospital,Hospital,Mafraq,3,0.5,0.63623,JMP 2025 Jordan; 2022 urban/rural safely managed sanitation weighted by governorate urbanization rate (Jordan DoS Census 2015),63.623,81.974,63.6% safely managed sanitation
North_Hashmi_Comprehensive_Center,Comprehensive Center,Amman,2,1.0,0.81905,JMP 2025 Jordan; 2022 urban/rural safely managed sanitation weighted by governorate urbanization rate (Jordan DoS Census 2015),81.905,85.797,81.9% safely managed sanitation
North_Madaba_Comprehensive_Center,Comprehensive Center,Madaba,2,0.0,0.68606,JMP 2025 Jordan; 2022 urban/rural safely managed sanitation weighted by governorate urbanization rate (Jordan DoS Census 2015),68.606,83.016,68.6% safely managed sanitation
North_Ramtha_Primary_Center,Primary Center,Irbid,1,0.5,0.73259,JMP 2025 Jordan; 2022 urban/rural safely managed sanitation weighted by governorate urbanization rate (Jordan DoS Census 2015),73.259,83.989,73.3% safely managed sanitation
North_Rusaifa_Primary_Center,Primary Center,Zarqa,1,1.0,0.81674,JMP 2025 Jordan; 2022 urban/rural safely managed sanitation weighted by governorate urbanization rate (Jordan DoS Census 2015),81.674,85.748,81.7% safely managed sanitation
Nuzha_Primary_Center,Primary Center,Amman,1,1.0,0.81905,JMP 2025 Jordan; 2022 urban/rural safely managed sanitation weighted by governorate urbanization rate (Jordan DoS Census 2015),81.905,85.797,81.9% safely managed sanitation
Ohud_Comprehensive_Center,Comprehensive Center,Amman,2,1.0,0.81905,JMP 2025 Jordan; 2022 urban/rural safely managed sanitation weighted by governorate urbanization rate (Jordan DoS Census 2015),81.905,85.797,81.9% safely managed sanitation
Old_Town_Primary_Center,Primary Center,Aqaba,1,1.0,0.75536,JMP 2025 Jordan; 2022 urban/rural safely managed sanitation weighted by governorate urbanization rate (Jordan DoS Census 2015),75.536,84.465,75.5% safely managed sanitation
Petra_Comprehensive_Center,Comprehensive Center,Ma'an,2,0.0,0.648,JMP 2025 Jordan; 2022 urban/rural safely managed sanitation weighted by governorate urbanization rate (Jordan DoS Census 2015),64.8,82.1,64.8% safely managed sanitation
Prince_Faisal_Bin_Al-Hussein_Hospital,Hospital,Zarqa,3,1.0,0.81674,JMP 2025 Jordan; 2022 urban/rural safely managed sanitation weighted by governorate urbanization rate (Jordan DoS Census 2015),81.674,85.748,81.7% safely managed sanitation
Prince_Hamza_Comprehensive_Center,Comprehensive Center,Zarqa,2,1.0,0.81674,JMP 2025 Jordan; 2022 urban/rural safely managed sanitation weighted by governorate urbanization rate (Jordan DoS Census 2015),81.674,85.748,81.7% safely managed sanitation
Prince_Hamzah_Hospital,Hospital,Amman,3,1.0,0.81905,JMP 2025 Jordan; 2022 urban/rural safely managed sanitation weighted by governorate urbanization rate (Jordan DoS Census 2015),81.905,85.797,81.9% safely managed sanitation
Prince_Hashem_Primary_Center,Primary Center,Ajloun,1,0.0,0.60983,JMP 2025 Jordan; 2022 urban/rural safely managed sanitation weighted by governorate urbanization rate (Jordan DoS Census 2015),60.983,81.422,61.0% safely managed sanitation
Prince_Hussein_Hospital,Hospital,Balqa,3,0.5,0.69662,JMP 2025 Jordan; 2022 urban/rural safely managed sanitation weighted by governorate urbanization rate (Jordan DoS Census 2015),69.662,83.237,69.7% safely managed sanitation
Prince_Talal_Primary_Center,Primary Center,Zarqa,1,1.0,0.81674,JMP 2025 Jordan; 2022 urban/rural safely managed sanitation weighted by governorate urbanization rate (Jordan DoS Census 2015),81.674,85.748,81.7% safely managed sanitation
Princess_Badea_Hospital,Specialized Medical Center,Irbid,4,0.5,0.73259,JMP 2025 Jordan; 2022 urban/rural safely managed sanitation weighted by governorate urbanization rate (Jordan DoS Census 2015),73.259,83.989,73.3% safely managed sanitation
Princess_Basma_Comprehensive_Center,Comprehensive Center,Amman,2,1.0,0.81905,JMP 2025 Jordan; 2022 urban/rural safely managed sanitation weighted by governorate urbanization rate (Jordan DoS Census 2015),81.905,85.797,81.9% safely managed sanitation
Princess_Basma_Comprehensive_Clinic,Comprehensive Center,Aqaba,2,1.0,0.75536,JMP 2025 Jordan; 2022 urban/rural safely managed sanitation weighted by governorate urbanization rate (Jordan DoS Census 2015),75.536,84.465,75.5% safely managed sanitation
Princess_Basma_Hospital,Educational Hospital,Irbid,3,0.5,0.73259,JMP 2025 Jordan; 2022 urban/rural safely managed sanitation weighted by governorate urbanization rate (Jordan DoS Census 2015),73.259,83.989,73.3% safely managed sanitation
